# generated by almanac_calendar/_generate/gen_holidays.py — do not hand-edit
# holidays: 0.101
# country: GB
# range: 2000 .. 2100
# note: 祝日は法改正で変わる。上のバージョンが基づいた法令の時点
date,name
2014-12-25,Christmas Day
2014-12-26,Boxing Day
2015-01-01,New Year's Day
2015-04-03,Good Friday
2015-05-04,May Day
2015-05-25,Spring Bank Holiday
2015-12-25,Christmas Day
2015-12-26,Boxing Day
2015-12-28,Boxing Day (observed)
2016-01-01,New Year's Day
2016-03-25,Good Friday
2016-05-02,May Day
2016-05-30,Spring Bank Holiday
2016-12-25,Christmas Day
2016-12-26,Boxing Day
2016-12-27,Christmas Day (observed)
2017-01-01,New Year's Day
2017-01-02,New Year's Day (observed)
2017-04-14,Good Friday
2017-05-01,May Day
2017-05-29,Spring Bank Holiday
2017-12-25,Christmas Day
2017-12-26,Boxing Day
2018-01-01,New Year's Day
2018-03-30,Good Friday
2018-05-07,May Day
2018-05-28,Spring Bank Holiday
2018-12-25,Christmas Day
2018-12-26,Boxing Day
2019-01-01,New Year's Day
2019-04-19,Good Friday
2019-05-06,May Day
2019-05-27,Spring Bank Holiday
2019-12-25,Christmas Day
2019-12-26,Boxing Day
2020-01-01,New Year's Day
2020-04-10,Good Friday
2020-05-08,May Day
2020-05-25,Spring Bank Holiday
2020-12-25,Christmas Day
2020-12-26,Boxing Day
2020-12-28,Boxing Day (observed)
2021-01-01,New Year's Day
2021-04-02,Good Friday
2021-05-03,May Day
2021-05-31,Spring Bank Holiday
2021-12-25,Christmas Day
2021-12-26,Boxing Day
2021-12-27,Christmas Day (observed)
2021-12-28,Boxing Day (observed)
2022-01-01,New Year's Day
2022-01-03,New Year's Day (observed)
2022-04-15,Good Friday
2022-05-02,May Day
2022-06-02,Spring Bank Holiday
2022-06-03,Platinum Jubilee of Elizabeth II
2022-09-19,State Funeral of Queen Elizabeth II
2022-12-25,Christmas Day
2022-12-26,Boxing Day
2022-12-27,Christmas Day (observed)
2023-01-01,New Year's Day
2023-01-02,New Year's Day (observed)
2023-04-07,Good Friday
2023-05-01,May Day
2023-05-08,Coronation of Charles III
2023-05-29,Spring Bank Holiday
2023-12-25,Christmas Day
2023-12-26,Boxing Day
2024-01-01,New Year's Day
2024-03-29,Good Friday
2024-05-06,May Day
2024-05-27,Spring Bank Holiday
2024-12-25,Christmas Day
2024-12-26,Boxing Day
2025-01-01,New Year's Day
2025-04-18,Good Friday
2025-05-05,May Day
2025-05-26,Spring Bank Holiday
2025-12-25,Christmas Day
2025-12-26,Boxing Day
2026-01-01,New Year's Day
2026-04-03,Good Friday
2026-05-04,May Day
2026-05-25,Spring Bank Holiday
2026-12-25,Christmas Day
2026-12-26,Boxing Day
2026-12-28,Boxing Day (observed)
2027-01-01,New Year's Day
2027-03-26,Good Friday
2027-05-03,May Day
2027-05-31,Spring Bank Holiday
2027-12-25,Christmas Day
2027-12-26,Boxing Day
2027-12-27,Christmas Day (observed)
2027-12-28,Boxing Day (observed)
2028-01-01,New Year's Day
2028-01-03,New Year's Day (observed)
2028-04-14,Good Friday
2028-05-01,May Day
2028-05-29,Spring Bank Holiday
2028-12-25,Christmas Day
2028-12-26,Boxing Day
2029-01-01,New Year's Day
2029-03-30,Good Friday
2029-05-07,May Day
2029-05-28,Spring Bank Holiday
2029-12-25,Christmas Day
2029-12-26,Boxing Day
2030-01-01,New Year's Day
2030-04-19,Good Friday
2030-05-06,May Day
2030-05-27,Spring Bank Holiday
2030-12-25,Christmas Day
2030-12-26,Boxing Day
2031-01-01,New Year's Day
2031-04-11,Good Friday
2031-05-05,May Day
2031-05-26,Spring Bank Holiday
2031-12-25,Christmas Day
2031-12-26,Boxing Day
2032-01-01,New Year's Day
2032-03-26,Good Friday
2032-05-03,May Day
2032-05-31,Spring Bank Holiday
2032-12-25,Christmas Day
2032-12-26,Boxing Day
2032-12-27,Christmas Day (observed)
2032-12-28,Boxing Day (observed)
2033-01-01,New Year's Day
2033-01-03,New Year's Day (observed)
2033-04-15,Good Friday
2033-05-02,May Day
2033-05-30,Spring Bank Holiday
2033-12-25,Christmas Day
2033-12-26,Boxing Day
2033-12-27,Christmas Day (observed)
2034-01-01,New Year's Day
2034-01-02,New Year's Day (observed)
2034-04-07,Good Friday
2034-05-01,May Day
2034-05-29,Spring Bank Holiday
2034-12-25,Christmas Day
2034-12-26,Boxing Day
2035-01-01,New Year's Day
2035-03-23,Good Friday
2035-05-07,May Day
2035-05-28,Spring Bank Holiday
2035-12-25,Christmas Day
2035-12-26,Boxing Day
2036-01-01,New Year's Day
2036-04-11,Good Friday
2036-05-05,May Day
2036-05-26,Spring Bank Holiday
2036-12-25,Christmas Day
2036-12-26,Boxing Day
2037-01-01,New Year's Day
2037-04-03,Good Friday
2037-05-04,May Day
2037-05-25,Spring Bank Holiday
2037-12-25,Christmas Day
2037-12-26,Boxing Day
2037-12-28,Boxing Day (observed)
2038-01-01,New Year's Day
2038-04-23,Good Friday
2038-05-03,May Day
2038-05-31,Spring Bank Holiday
2038-12-25,Christmas Day
2038-12-26,Boxing Day
2038-12-27,Christmas Day (observed)
2038-12-28,Boxing Day (observed)
2039-01-01,New Year's Day
2039-01-03,New Year's Day (observed)
2039-04-08,Good Friday
2039-05-02,May Day
2039-05-30,Spring Bank Holiday
2039-12-25,Christmas Day
2039-12-26,Boxing Day
2039-12-27,Christmas Day (observed)
2040-01-01,New Year's Day
2040-01-02,New Year's Day (observed)
2040-03-30,Good Friday
2040-05-07,May Day
2040-05-28,Spring Bank Holiday
2040-12-25,Christmas Day
2040-12-26,Boxing Day
2041-01-01,New Year's Day
2041-04-19,Good Friday
2041-05-06,May Day
2041-05-27,Spring Bank Holiday
2041-12-25,Christmas Day
2041-12-26,Boxing Day
2042-01-01,New Year's Day
2042-04-04,Good Friday
2042-05-05,May Day
2042-05-26,Spring Bank Holiday
2042-12-25,Christmas Day
2042-12-26,Boxing Day
2043-01-01,New Year's Day
2043-03-27,Good Friday
2043-05-04,May Day
2043-05-25,Spring Bank Holiday
2043-12-25,Christmas Day
2043-12-26,Boxing Day
2043-12-28,Boxing Day (observed)
2044-01-01,New Year's Day
2044-04-15,Good Friday
2044-05-02,May Day
2044-05-30,Spring Bank Holiday
2044-12-25,Christmas Day
2044-12-26,Boxing Day
2044-12-27,Christmas Day (observed)
2045-01-01,New Year's Day
2045-01-02,New Year's Day (observed)
2045-04-07,Good Friday
2045-05-01,May Day
2045-05-29,Spring Bank Holiday
2045-12-25,Christmas Day
2045-12-26,Boxing Day
2046-01-01,New Year's Day
2046-03-23,Good Friday
2046-05-07,May Day
2046-05-28,Spring Bank Holiday
2046-12-25,Christmas Day
2046-12-26,Boxing Day
2047-01-01,New Year's Day
2047-04-12,Good Friday
2047-05-06,May Day
2047-05-27,Spring Bank Holiday
2047-12-25,Christmas Day
2047-12-26,Boxing Day
2048-01-01,New Year's Day
2048-04-03,Good Friday
2048-05-04,May Day
2048-05-25,Spring Bank Holiday
2048-12-25,Christmas Day
2048-12-26,Boxing Day
2048-12-28,Boxing Day (observed)
2049-01-01,New Year's Day
2049-04-16,Good Friday
2049-05-03,May Day
2049-05-31,Spring Bank Holiday
2049-12-25,Christmas Day
2049-12-26,Boxing Day
2049-12-27,Christmas Day (observed)
2049-12-28,Boxing Day (observed)
2050-01-01,New Year's Day
2050-01-03,New Year's Day (observed)
2050-04-08,Good Friday
2050-05-02,May Day
2050-05-30,Spring Bank Holiday
2050-12-25,Christmas Day
2050-12-26,Boxing Day
2050-12-27,Christmas Day (observed)
2051-01-01,New Year's Day
2051-01-02,New Year's Day (observed)
2051-03-31,Good Friday
2051-05-01,May Day
2051-05-29,Spring Bank Holiday
2051-12-25,Christmas Day
2051-12-26,Boxing Day
2052-01-01,New Year's Day
2052-04-19,Good Friday
2052-05-06,May Day
2052-05-27,Spring Bank Holiday
2052-12-25,Christmas Day
2052-12-26,Boxing Day
2053-01-01,New Year's Day
2053-04-04,Good Friday
2053-05-05,May Day
2053-05-26,Spring Bank Holiday
2053-12-25,Christmas Day
2053-12-26,Boxing Day
2054-01-01,New Year's Day
2054-03-27,Good Friday
2054-05-04,May Day
2054-05-25,Spring Bank Holiday
2054-12-25,Christmas Day
2054-12-26,Boxing Day
2054-12-28,Boxing Day (observed)
2055-01-01,New Year's Day
2055-04-16,Good Friday
2055-05-03,May Day
2055-05-31,Spring Bank Holiday
2055-12-25,Christmas Day
2055-12-26,Boxing Day
2055-12-27,Christmas Day (observed)
2055-12-28,Boxing Day (observed)
2056-01-01,New Year's Day
2056-01-03,New Year's Day (observed)
2056-03-31,Good Friday
2056-05-01,May Day
2056-05-29,Spring Bank Holiday
2056-12-25,Christmas Day
2056-12-26,Boxing Day
2057-01-01,New Year's Day
2057-04-20,Good Friday
2057-05-07,May Day
2057-05-28,Spring Bank Holiday
2057-12-25,Christmas Day
2057-12-26,Boxing Day
2058-01-01,New Year's Day
2058-04-12,Good Friday
2058-05-06,May Day
2058-05-27,Spring Bank Holiday
2058-12-25,Christmas Day
2058-12-26,Boxing Day
2059-01-01,New Year's Day
2059-03-28,Good Friday
2059-05-05,May Day
2059-05-26,Spring Bank Holiday
2059-12-25,Christmas Day
2059-12-26,Boxing Day
2060-01-01,New Year's Day
2060-04-16,Good Friday
2060-05-03,May Day
2060-05-31,Spring Bank Holiday
2060-12-25,Christmas Day
2060-12-26,Boxing Day
2060-12-27,Christmas Day (observed)
2060-12-28,Boxing Day (observed)
2061-01-01,New Year's Day
2061-01-03,New Year's Day (observed)
2061-04-08,Good Friday
2061-05-02,May Day
2061-05-30,Spring Bank Holiday
2061-12-25,Christmas Day
2061-12-26,Boxing Day
2061-12-27,Christmas Day (observed)
2062-01-01,New Year's Day
2062-01-02,New Year's Day (observed)
2062-03-24,Good Friday
2062-05-01,May Day
2062-05-29,Spring Bank Holiday
2062-12-25,Christmas Day
2062-12-26,Boxing Day
2063-01-01,New Year's Day
2063-04-13,Good Friday
2063-05-07,May Day
2063-05-28,Spring Bank Holiday
2063-12-25,Christmas Day
2063-12-26,Boxing Day
2064-01-01,New Year's Day
2064-04-04,Good Friday
2064-05-05,May Day
2064-05-26,Spring Bank Holiday
2064-12-25,Christmas Day
2064-12-26,Boxing Day
2065-01-01,New Year's Day
2065-03-27,Good Friday
2065-05-04,May Day
2065-05-25,Spring Bank Holiday
2065-12-25,Christmas Day
2065-12-26,Boxing Day
2065-12-28,Boxing Day (observed)
2066-01-01,New Year's Day
2066-04-09,Good Friday
2066-05-03,May Day
2066-05-31,Spring Bank Holiday
2066-12-25,Christmas Day
2066-12-26,Boxing Day
2066-12-27,Christmas Day (observed)
2066-12-28,Boxing Day (observed)
2067-01-01,New Year's Day
2067-01-03,New Year's Day (observed)
2067-04-01,Good Friday
2067-05-02,May Day
2067-05-30,Spring Bank Holiday
2067-12-25,Christmas Day
2067-12-26,Boxing Day
2067-12-27,Christmas Day (observed)
2068-01-01,New Year's Day
2068-01-02,New Year's Day (observed)
2068-04-20,Good Friday
2068-05-07,May Day
2068-05-28,Spring Bank Holiday
2068-12-25,Christmas Day
2068-12-26,Boxing Day
2069-01-01,New Year's Day
2069-04-12,Good Friday
2069-05-06,May Day
2069-05-27,Spring Bank Holiday
2069-12-25,Christmas Day
2069-12-26,Boxing Day
2070-01-01,New Year's Day
2070-03-28,Good Friday
2070-05-05,May Day
2070-05-26,Spring Bank Holiday
2070-12-25,Christmas Day
2070-12-26,Boxing Day
2071-01-01,New Year's Day
2071-04-17,Good Friday
2071-05-04,May Day
2071-05-25,Spring Bank Holiday
2071-12-25,Christmas Day
2071-12-26,Boxing Day
2071-12-28,Boxing Day (observed)
2072-01-01,New Year's Day
2072-04-08,Good Friday
2072-05-02,May Day
2072-05-30,Spring Bank Holiday
2072-12-25,Christmas Day
2072-12-26,Boxing Day
2072-12-27,Christmas Day (observed)
2073-01-01,New Year's Day
2073-01-02,New Year's Day (observed)
2073-03-24,Good Friday
2073-05-01,May Day
2073-05-29,Spring Bank Holiday
2073-12-25,Christmas Day
2073-12-26,Boxing Day
2074-01-01,New Year's Day
2074-04-13,Good Friday
2074-05-07,May Day
2074-05-28,Spring Bank Holiday
2074-12-25,Christmas Day
2074-12-26,Boxing Day
2075-01-01,New Year's Day
2075-04-05,Good Friday
2075-05-06,May Day
2075-05-27,Spring Bank Holiday
2075-12-25,Christmas Day
2075-12-26,Boxing Day
2076-01-01,New Year's Day
2076-04-17,Good Friday
2076-05-04,May Day
2076-05-25,Spring Bank Holiday
2076-12-25,Christmas Day
2076-12-26,Boxing Day
2076-12-28,Boxing Day (observed)
2077-01-01,New Year's Day
2077-04-09,Good Friday
2077-05-03,May Day
2077-05-31,Spring Bank Holiday
2077-12-25,Christmas Day
2077-12-26,Boxing Day
2077-12-27,Christmas Day (observed)
2077-12-28,Boxing Day (observed)
2078-01-01,New Year's Day
2078-01-03,New Year's Day (observed)
2078-04-01,Good Friday
2078-05-02,May Day
2078-05-30,Spring Bank Holiday
2078-12-25,Christmas Day
2078-12-26,Boxing Day
2078-12-27,Christmas Day (observed)
2079-01-01,New Year's Day
2079-01-02,New Year's Day (observed)
2079-04-21,Good Friday
2079-05-01,May Day
2079-05-29,Spring Bank Holiday
2079-12-25,Christmas Day
2079-12-26,Boxing Day
2080-01-01,New Year's Day
2080-04-05,Good Friday
2080-05-06,May Day
2080-05-27,Spring Bank Holiday
2080-12-25,Christmas Day
2080-12-26,Boxing Day
2081-01-01,New Year's Day
2081-03-28,Good Friday
2081-05-05,May Day
2081-05-26,Spring Bank Holiday
2081-12-25,Christmas Day
2081-12-26,Boxing Day
2082-01-01,New Year's Day
2082-04-17,Good Friday
2082-05-04,May Day
2082-05-25,Spring Bank Holiday
2082-12-25,Christmas Day
2082-12-26,Boxing Day
2082-12-28,Boxing Day (observed)
2083-01-01,New Year's Day
2083-04-02,Good Friday
2083-05-03,May Day
2083-05-31,Spring Bank Holiday
2083-12-25,Christmas Day
2083-12-26,Boxing Day
2083-12-27,Christmas Day (observed)
2083-12-28,Boxing Day (observed)
2084-01-01,New Year's Day
2084-01-03,New Year's Day (observed)
2084-03-24,Good Friday
2084-05-01,May Day
2084-05-29,Spring Bank Holiday
2084-12-25,Christmas Day
2084-12-26,Boxing Day
2085-01-01,New Year's Day
2085-04-13,Good Friday
2085-05-07,May Day
2085-05-28,Spring Bank Holiday
2085-12-25,Christmas Day
2085-12-26,Boxing Day
2086-01-01,New Year's Day
2086-03-29,Good Friday
2086-05-06,May Day
2086-05-27,Spring Bank Holiday
2086-12-25,Christmas Day
2086-12-26,Boxing Day
2087-01-01,New Year's Day
2087-04-18,Good Friday
2087-05-05,May Day
2087-05-26,Spring Bank Holiday
2087-12-25,Christmas Day
2087-12-26,Boxing Day
2088-01-01,New Year's Day
2088-04-09,Good Friday
2088-05-03,May Day
2088-05-31,Spring Bank Holiday
2088-12-25,Christmas Day
2088-12-26,Boxing Day
2088-12-27,Christmas Day (observed)
2088-12-28,Boxing Day (observed)
2089-01-01,New Year's Day
2089-01-03,New Year's Day (observed)
2089-04-01,Good Friday
2089-05-02,May Day
2089-05-30,Spring Bank Holiday
2089-12-25,Christmas Day
2089-12-26,Boxing Day
2089-12-27,Christmas Day (observed)
2090-01-01,New Year's Day
2090-01-02,New Year's Day (observed)
2090-04-14,Good Friday
2090-05-01,May Day
2090-05-29,Spring Bank Holiday
2090-12-25,Christmas Day
2090-12-26,Boxing Day
2091-01-01,New Year's Day
2091-04-06,Good Friday
2091-05-07,May Day
2091-05-28,Spring Bank Holiday
2091-12-25,Christmas Day
2091-12-26,Boxing Day
2092-01-01,New Year's Day
2092-03-28,Good Friday
2092-05-05,May Day
2092-05-26,Spring Bank Holiday
2092-12-25,Christmas Day
2092-12-26,Boxing Day
2093-01-01,New Year's Day
2093-04-10,Good Friday
2093-05-04,May Day
2093-05-25,Spring Bank Holiday
2093-12-25,Christmas Day
2093-12-26,Boxing Day
2093-12-28,Boxing Day (observed)
2094-01-01,New Year's Day
2094-04-02,Good Friday
2094-05-03,May Day
2094-05-31,Spring Bank Holiday
2094-12-25,Christmas Day
2094-12-26,Boxing Day
2094-12-27,Christmas Day (observed)
2094-12-28,Boxing Day (observed)
2095-01-01,New Year's Day
2095-01-03,New Year's Day (observed)
2095-04-22,Good Friday
2095-05-02,May Day
2095-05-30,Spring Bank Holiday
2095-12-25,Christmas Day
2095-12-26,Boxing Day
2095-12-27,Christmas Day (observed)
2096-01-01,New Year's Day
2096-01-02,New Year's Day (observed)
2096-04-13,Good Friday
2096-05-07,May Day
2096-05-28,Spring Bank Holiday
2096-12-25,Christmas Day
2096-12-26,Boxing Day
2097-01-01,New Year's Day
2097-03-29,Good Friday
2097-05-06,May Day
2097-05-27,Spring Bank Holiday
2097-12-25,Christmas Day
2097-12-26,Boxing Day
2098-01-01,New Year's Day
2098-04-18,Good Friday
2098-05-05,May Day
2098-05-26,Spring Bank Holiday
2098-12-25,Christmas Day
2098-12-26,Boxing Day
2099-01-01,New Year's Day
2099-04-10,Good Friday
2099-05-04,May Day
2099-05-25,Spring Bank Holiday
2099-12-25,Christmas Day
2099-12-26,Boxing Day
2099-12-28,Boxing Day (observed)
2100-01-01,New Year's Day
2100-03-26,Good Friday
2100-05-03,May Day
2100-05-31,Spring Bank Holiday
2100-12-25,Christmas Day
2100-12-26,Boxing Day
2100-12-27,Christmas Day (observed)
2100-12-28,Boxing Day (observed)
